Date	Inlet_Flow	Inlet_Flow_Maxhour	Inlet_Precipitate	COD	COD_PE	pH	NH4	NO3	PO4	Precipitation
2016-03-10	7663	353				7.73				0
2016-03-11	7486	346				7.73				0
2016-03-12	7254	362				7.73				0
2016-03-13	7332	413				7.67				0
2016-03-14	7087	329				7.7				0
2016-03-15	6792	321				7.7				0
2016-03-16	6765	326				7.66				0
2016-03-17	6600	317		450	20342	7.72	22.3	0.92	1.84	0
2016-03-18	6593	329				7.71				0
2016-03-19	6481	326				7.71				0
2016-03-20	6260	314				7.73				0
2016-03-21	6285	296				7.72				0.6
2016-03-22	6098	294				7.72				0
2016-03-23	6091	292				7.74				0
2016-03-24	6013	306				7.73				1
2016-03-25	5856	298				7.74				0.6
2016-03-26	5526	298				7.75				0
2016-03-27	7771	646				7.7				4
2016-03-28	5846	290				7.76				0.6
2016-03-29	5591	263		486	18612	7.76	26.6	0.8	1.8	0.6
2016-03-30	6141	332				7.73				3.6
2016-03-31	5520	265				7.75				0
2016-04-01	5522	262				7.73				0
2016-04-02	5538	278				7.7				0
2016-04-03	5519	273				7.7				0
2016-04-04	6802	514				7.7				4
2016-04-05	12630	1067				7.72				16.2
2016-04-06	9946	608				7.72				5.8
2016-04-07	9738	608				7.71				2.8
2016-04-08	8083	409				7.67				0.6
2016-04-09	7702	378				7.66				0
2016-04-10	7631	366				7.67				0
2016-04-11	6107	307		463	19365	7.67	22.7	0.32	1.41	0.8
2016-04-12	9529	691				7.69				3.8
2016-04-13	7095	398				7.7				0
2016-04-14	5989	378				7.66				3.2
2016-04-15	6206	472				7.64				0
2016-04-16	5886	334				7.63				1.6
2016-04-17	5467	288				7.67				0
2016-04-18	5456	266				7.68				0.8
2016-04-19	5298	252				7.64				0
2016-04-20	5241	248				7.64				0
2016-04-21	5231	260				7.6				0
2016-04-22	5178	266				7.6				0
2016-04-23	5046	259				7.59				0
2016-04-24	5489	323				7.56				0.4
2016-04-25	5571	330				7.63				7.8
2016-04-26	8663	768				7.57				7.6
2016-04-27	10261	897		414	29097	7.58	19.3	0.5	1.67	2.6
2016-04-28	5503	274				7.56				0
2016-04-29	11073	958				7.27				13.8
2016-04-30	7509	545				7.15				2.2
2016-05-01	5707	286				7.16				0
2016-05-02	5685	272				7.52				0
2016-05-03	5701	279				7.56				1.2
2016-05-04	5358	254				7.57				0
2016-05-05	5292	274				7.52				0
2016-05-06	5269	259				7.54				0
2016-05-07	5155	260				7.53				0
2016-05-08	5213	256				7.52				0
2016-05-09	5252	251				7.55				0
2016-05-10	5194	252		532	18926	7.57	32	0.22	2.42	0
2016-05-11	5176	248				7.57				0
2016-05-12	5112	245				7.6				0
2016-05-13	5427	347				7.51				0
2016-05-14	4935	252				7.61				0
2016-05-15	4820	242				7.59				0.4
2016-05-16	4921	249				7.56				0.2
2016-05-17	4856	231				7.58				0
2016-05-18	4950	233				7.55				0
2016-05-19	5000	281				7.51				0
2016-05-20	4867	233				7.52				0
2016-05-21	6071	471				7.51				5.6
2016-05-22	5681	350		718	27939	7.5	26	0.32	1.54	3.6
2016-05-23	8382	778				7.48				6.4
2016-05-24	4843	264				7.55				1
2016-05-25	4703	223				7.54				0
2016-05-26	4637	220				7.62				0
2016-05-27	4762	244				7.61				0
2016-05-28	4645	236				7.58				0
2016-05-29	4708	228				7.65				1.8
2016-05-30	6067	616				7.73				2
2016-05-31	4629	226				7.81				1.6
2016-06-01	4566	219				7.87				0
2016-06-02	4564	219				7.84				0
2016-06-03	4570	220				7.83				0
2016-06-04	4449	221				7.78				0
2016-06-05	4481	222				7.81				0
2016-06-06	4471	221				7.82				0.2
2016-06-07	4868	321				7.14				0
2016-06-08	4517	210		1167	36105	7.2	37.5	0.13	0.13	0
2016-06-09	4376	229				7.36				0
2016-06-10	4388	211				7.45				0
2016-06-11	4262	212				7.44				0
2016-06-12	4367	240				7.44				0.4
2016-06-13	4499	254				7.45				1.6
2016-06-14	4516	226				7.46				0
2016-06-15	5412	511				7.52				4.2
2016-06-16	5559	458				7.54				12.2
2016-06-17	4958	338				7.6				1.2
2016-06-18	4406	230				7.62				0
2016-06-19	4381	223				7.63				0
2016-06-20	8939	861				7.57				14.8
2016-06-21	6703	666				7.55				0.2
2016-06-22	4423	217				7.61				2
2016-06-23	4287	208				7.7				0
2016-06-24	4336	210				7.67				0
2016-06-25	6855	540				7.71				13.2
2016-06-26	4021	208				7.83				0.2
2016-06-27	4422	229				7.79				0.6
2016-06-28	4323	210				7.79				0
2016-06-29	5420	410				7.73				4.2
2016-06-30	6179	441				7.72				7.2
2016-07-01	6954	703				7.66				11.2
2016-07-02	6474	594				7.66				0.2
2016-07-03	5446	364				7.68				1.6
2016-07-04	4285	225				7.58				0.4
2016-07-05	14278	1046				7.45				17
2016-07-06	4843	244				7.58				0
2016-07-07	4863	323				7.57				0
2016-07-08	7525	821				7.48				8
2016-07-09	4214	211				7.52				4.4
2016-07-10	5991	534				7.49				3.4
2016-07-11	5499	445				7.49				7.6
2016-07-12	4341	206				7.52				0
2016-07-13	4088	277				7.57				0
2016-07-14	4818	407				7.55				3.8
2016-07-15	3960	191				7.57				0
2016-07-16	3954	201				7.55				1
2016-07-17	4069	224				7.54				0.4
2016-07-18	3957	195				7.55				0
2016-07-19	4029	196				7.5				0
2016-07-20	4008	198				7.48				0
2016-07-21	4134	297				7.58				0
2016-07-22	3939	197				7.61				0
2016-07-23	3903	199				7.6				0
2016-07-24	3966	203				7.62				0
2016-07-25	4485	379				7.56				0.8
2016-07-26	4030	198				7.64				0
2016-07-27	3955	196				7.64				1
2016-07-28	4135	214				7.59				0.2
2016-07-29	7427	742				7.42				21.6
2016-07-30	6106	504				7.4				6.6
2016-07-31	4145	206				7.48				0.2
2016-08-01	5452	525				7.43				2.8
2016-08-02	4394	257				7.47				0.2
2016-08-03	6688	636				7.42				8.6
2016-08-04	4471	333				7.45				1.2
2016-08-05	4291	249				7.45				1
2016-08-06	4336	291				7.44				1.6
2016-08-07	4210	215				7.44				0
2016-08-08	4602	252				7.55				2.6
2016-08-09	4378	218				7.7				0.8
2016-08-10	4492	226				7.46				1
2016-08-11	4280	209				7.48				0
2016-08-12	4273	228				7.46				0
2016-08-13	4205	219				7.45				0.4
2016-08-14	4817	307				7.42				2.2
2016-08-15	4263	217				7.47				0
2016-08-16	4304	219				7.47				0
2016-08-17	4302	223				7.46				0
2016-08-18	4286	207				7.46				0.4
2016-08-19	4307	221				7.43				0.2
2016-08-20	4141	220				7.46				0.2
2016-08-21	4250	220				7.51				0
2016-08-22	6711	635				7.47				6.4
2016-08-23	3966	196				7.52				0
2016-08-24	4084	197				7.52				0
2016-08-25	4154	207				7.52				0
2016-08-26	4053	196				7.5				0
2016-08-27	4381	381				7.53				5.6
2016-08-28	6849	599				7.42				5.2
2016-08-29	3958	194				7.68				0.2
2016-08-30	3966	192				7.69				0
2016-08-31	4069	200				7.69				0
2016-09-01	4137	213				7.68				0.4
2016-09-02	4089	200				7.67				0.8
2016-09-03	4444	232				7.64				5.8
2016-09-04	15987	1284				7.51				21.4
2016-09-05	4337	351				7.61				0.2
2016-09-06	3980	194				7.67				0
2016-09-07	4095	217				7.65				0
2016-09-08	4073	201				7.64				0
2016-09-09	4041	205				7.62				0
2016-09-10	3876	208				7.6				0
2016-09-11	4029	209				7.6				0
2016-09-12	4084	220				7.64				0
2016-09-13	4051	198				7.68				0
2016-09-14	4087	199				7.64				0
2016-09-15	4063	196				7.63				0.2
2016-09-16	4022	201				7.65				0
2016-09-17	3924	209				7.64				0
2016-09-18	4010	212				7.64				0
2016-09-19	3996	199				7.65				0
2016-09-20	4222	224				7.67				2.4
2016-09-21	4517	328				7.63				0
2016-09-22	4078	201				7.65				0
2016-09-23	4096	203				7.67				0
2016-09-24	4058	212				7.64				0
2016-09-25	4055	219				7.63				0
2016-09-26	5943	650				7.59				6.4
2016-09-27	3970	200				7.7				0.2
2016-09-28	3937	197				7.71				0.4
2016-09-29	6060	612				7.64				5.6
2016-09-30	3892	193				7.7				2.6
2016-10-01	3997	245				7.64				3.2
2016-10-02	5436	358				7.6				18.8
2016-10-03	9347	922				7.59				3.8
2016-10-04	3808	181				7.71				0
2016-10-05	3952	197				7.65				0
2016-10-06	3921	197				7.69				0
2016-10-07	3882	191				7.63				0.2
2016-10-08	3893	209				7.6				0.8
2016-10-09	4746	305				7.54				5
2016-10-10	5710	502				7.59				4.2
2016-10-11	3773	183				7.62				0
2016-10-12	4252	216				7.6				0.6
2016-10-13	4144	245				7.66				0.2
2016-10-14	3958	198				7.66				0
2016-10-15	4249	230				7.61				2.8
2016-10-16	3894	208				7.6				0
2016-10-17	3901	197				7.65				0.4
2016-10-18	4499	253				7.66				7.6
2016-10-19	13791	940				7.56				16.6
2016-10-20	6579	672				7.61				5.6
2016-10-21	11328	924				7.6				9.6
2016-10-22	4634	273				7.63				2.2
2016-10-23	10222	819				7.57				18.2
2016-10-24	5982	615				7.62				0.2
2016-10-25	4445	220		616	18752	7.73	35.4	0.26	4.6	0
2016-10-26	4764	232				7.74				2.2
2016-10-27	4715	226				7.66				0
2016-10-28	4752	233				7.66				0.4
2016-10-29	4757	259				7.7				0
2016-10-30	4469	226				7.67				0
2016-10-31	4412	211				7.71				0
2016-11-01	4493	218				7.79				0.4
2016-11-02	5379	274				7.77				0.4
2016-11-03	4525	213				7.8				2.6
2016-11-04	6973	625				7.76				3.4
2016-11-05	8370	741				7.72				7.8
2016-11-06	4794	259		527	17303	7.81				0.4
2016-11-07	5808	312				7.86				0.6
2016-11-08	6225	308				7.9				5.6
2016-11-09	5644	311				7.87				2.6
2016-11-10	4653	240				7.86				0
2016-11-11	4735	247				7.82				0
2016-11-12	4535	240				7.84				0
2016-11-13	4486	237				7.84				0
2016-11-14	7646	580				7.83				4
2016-11-15	4868	273				7.94				0
2016-11-16	4810	262				7.9				2
2016-11-17	9246	714				7.81				9.2
2016-11-18	10129	745				7.79				10
2016-11-19	8438	659				7.82				0.2
2016-11-20	8392	642				7.83				4.4
2016-11-21	5348	264				7.85				1.2
2016-11-22	5058	239				7.79				0
2016-11-23	5062	262				7.78				0
2016-11-24	5161	257		725	25627	7.81				0
2016-11-25	4846	231				7.82				0
2016-11-26	4805	246				7.83				0
2016-11-27	5876	304				7.84				0
2016-11-28	5110	329				7.86				0
2016-11-29	4827	236				7.87				0.4
2016-11-30	5354	289				7.88				3.8
2016-12-01	5498	266				7.86				0.4
2016-12-02	4974	260				7.88				0
2016-12-03	4540	239				7.85				0
2016-12-04	4555	238				7.87				0
2016-12-05	4612	220				7.88				0
2016-12-06	4538	218				7.88				0
2016-12-07	6526	571		967	43220	7.83				3.4
2016-12-08	4687	269				7.89				0
2016-12-09	5255	278				7.85				4.2
2016-12-10	5591	319				7.8				2.6
2016-12-11	6357	435				7.8				1.4
2016-12-12	4665	226				7.91				0.2
2016-12-13	4771	236				7.9				0
2016-12-14	4737	235				7.88				0
2016-12-15	4653	228				7.91				0
2016-12-16	4731	237				7.92				0
2016-12-17	4759	239				7.89				1.2
2016-12-18	4961	250				7.88				0
2016-12-19	4650	226				7.94				0
2016-12-20	4655	230				7.96				0
2016-12-21	4637	220				7.96				0.2
2016-12-22	5187	312				7.93				4.8
2016-12-23	6908	486				7.87				4.2
2016-12-24	7077	538				7.79				2
2016-12-25	5209	290				7.81				1.8
2016-12-26	5567	304				7.88				2.4
2016-12-27	5883	356				7.88				0
2016-12-28	4549	232				7.91				0
2016-12-29	4588	228				7.91				0
2016-12-30	4634	233				7.94				0
2016-12-31	4897	281				7.91				0.6
2017-01-01	7508	638				7.79				4.2
2017-01-02	4761	256				7.99				0.0
2017-01-03	5707	354				7.94				4.2
2017-01-04	6179	318				8.02				0.2
2017-01-05	4641	220				8.03				0.0
2017-01-06	4505	218				8.02				0.0
2017-01-07	4691	250				8.00				0.0
2017-01-08	4541	238				8.00				0.2
2017-01-09	4611	225				8.01				0.6
2017-01-10	4607	226		610	19248	8.05				0.0
2017-01-11	11344	840				7.98				12.8
2017-01-12	6065	322				8.03				0.6
2017-01-13	4743	227				8.05				0.4
2017-01-14	5195	290				8.03				0.2
2017-01-15	4651	253				8.00				0.2
2017-01-16	4525	224				8.01				0.0
2017-01-17	4524	220				8.00				0.0
2017-01-18	4565	224				8.01				0.0
2017-01-19	4566	225				7.99				0.0
2017-01-20	4535	219				7.98				0.0
2017-01-21	4513	238				7.97				0.0
2017-01-22	4538	234				7.98				0.0
2017-01-23	4500	221				8.00				0.0
2017-01-24	4522	221				8.02				0.0
2017-01-25	4551	221				8.05				0.0
2017-01-26	4582	223				8.04				0.0
2017-01-27	4598	226				8.03				0.0
2017-01-28	4593	243				8.03				0.0
2017-01-29	4882	279				7.99				1.4
2017-01-30	5121	291				8.02				1.8
2017-01-31	4495	225				8.07				0.0
2017-02-01	4502	221				8.08				0.0
2017-02-02	4542	224				8.09				0.0
2017-02-03	4585	229				8.04				1.4
2017-02-04	4707	271				8.04				0.0
2017-02-05	5190	299				8.09				2.4
2017-02-06	4712	225		714	23041	8.06				0.4
2017-02-07	4454	223				8.10				0.2
2017-02-08	4531	224				8.10				2.4
2017-02-09	4572	230				8.08				0.0
2017-02-10	4483	218				8.12				0.0
2017-02-11	4516	245				8.09				0.0
2017-02-12	4351	231				8.10				0.0
2017-02-13	4415	231				8.10				0.0
2017-02-14	4478	229				7.96				0.0
2017-02-15	4447	219				7.96				0.0
2017-02-16	4764	302				7.95				0.0
2017-02-17	4693	236				8.00				0.0
2017-02-18	4574	237				8.01				0.2
2017-02-19	4951	281				7.99				1.8
2017-02-20	4741	245				8.02				0.8
2017-02-21	5619	442				8.01				9.8
2017-02-22	10377	800				7.94				0.4
2017-02-23	12475	1036				7.93				14.8
2017-02-24	8831	478				7.97				0.0
2017-02-25	8755	710				7.92				6.6
2017-02-26	8972	442				7.93				1.6
2017-02-27	6012	340				7.94				2.2
2017-02-28	8862	674				7.93				3.0
2017-03-01	5550	303				7.98				3.0
2017-03-02	5175	262				7.96				0.6
2017-03-03	4988	237				7.97				0.8
2017-03-04	5172	298				7.97				0.0
2017-03-05	7154	547		729	35719	7.94				2.0
2017-03-06	4812	250				8.03				0.0
2017-03-07	4698	230				8.01				0.0
2017-03-08	5018	259				7.98				1.4
2017-03-09	4821	240				8.00				1.2
2017-03-10	4592	220				8.00				0.0
2017-03-11	4582	241				7.97				0.0
2017-03-12	4644	237				8.00				0.0
2017-03-13	4579	224				8.01				0.0
2017-03-14	4503	217				7.99				0.0
2017-03-15	4561	220				8.03				0.0
2017-03-16	4554	222				8.04				0.0
2017-03-17	7641	598				7.98				11.2
2017-03-18	10098	736				8.00				1.2
2017-03-19	8598	686				8.01				7.2
2017-03-20	11633	1075				7.95				11.6
2017-03-21	11088	539				8.01				0.6
2017-03-22	5638	269				8.06				0.0
2017-03-23	5241	250				8.05				0.0
2017-03-24	5100	240				8.02				0.0
2017-03-25	4897	263				8.02				0.0
2017-03-26	5010	247				8.00				0.0
2017-03-27	4925	243				8.00				0.0
2017-03-28	4901	240				8.03				0.4
2017-03-29	4862	239				8.07				0.0
2017-03-30	5242	276				8.02				2.2
2017-03-31	6601	353				8.06				0.0
2017-04-01	6945	361				8.06				0.0
2017-04-02	7008	351				8.05				0.0
2017-04-03	5069	329		398	13818	8.07				0.0
2017-04-04	4640	223				8.05				0.2
2017-04-05	4778	242				8.09				0.0
2017-04-06	4641	220				8.10				0.0
2017-04-07	4622	230				8.08				0.0
2017-04-08	4466	229				8.09				0.0
2017-04-09	4453	225				8.06				0.0
2017-04-10	4572	234				8.08				0.0
2017-04-11	4896	252				8.09				3.4
2017-04-12	5052	262				8.03				1.8
2017-04-13	4571	241				8.08				0.8
2017-04-14	8855	702				8.00				6.2
2017-04-15	13204	810				7.99				14.0
2017-04-16	7975	399				8.08				2.8
2017-04-17	4757	242				8.12				0.0
2017-04-18	4416	216				8.15				0.0
2017-04-19	4499	233				8.12				0.0
2017-04-20	4408	479				7.95	36.80			0.0
2017-04-21	4517	230				7.98				0.8
2017-04-22	4463	233				7.98				0.0
2017-04-23	4474	227				8.00				0.0
2017-04-24	4519	234				7.98				0.4
2017-04-25	4849	262				7.97				1.2
2017-04-26	4644	273				7.96				2.2
2017-04-27	4720	237				7.96				4.0
2017-04-28	8316	538				7.88				5.2
2017-04-29	4246	219				8.01				0.4
2017-04-30	4349	221				8.00				0.0
2017-05-01	4409	213				8.01				0.0
2017-05-02	4420	218				8.02				0.0
2017-05-03	4439	218		618	18790	7.99	39.20			0.0
2017-05-04	4389	212				8.00				0.0
2017-05-05	4404	212				7.99				0.4
2017-05-06	4370	225				7.92				0.0
2017-05-07	4472	225				7.92				0.4
2017-05-08	4542	232				7.92				0.0
2017-05-09	4584	217				7.94				2.8
2017-05-10	8382	717				7.76				6.0
2017-05-11	4264	210				7.95				0.0
2017-05-12	4151	217				7.95				0.4
2017-05-13	5342	551				7.88				8.2
2017-05-14	4927	380				7.82				1.8
2017-05-15	4636	275				7.86				3.0
2017-05-16	9160	729				7.73				8.8
2017-05-17	4647	264				7.83				0.0
2017-05-18	4574	248				7.86				2.2
2017-05-19	4473	223				7.82				0.0
2017-05-20	4176	215				7.86				0.0
2017-05-21	4289	222				7.83				0.0
2017-05-22	4313	209		916	27060	7.87	39.10			0.0
2017-05-23	4981	343				7.78				2.8
2017-05-24	4384	214				7.89				0.0
2017-05-25	4325	225				7.87				0.0
2017-05-26	4234	219				7.84				0.0
2017-05-27	4134	206				7.82				0.0
2017-05-28	4259	215				7.84				0.2
2017-05-29	4266	214				7.85				0.0
2017-05-30	4330	208				7.84				0.6
2017-05-31	4280	211				7.88				0.0
2017-06-01	4313	211				7.87				0.0
2017-06-02	4253	215				7.83				0.0
2017-06-03	4047	207				7.83				0.0
2017-06-04	3997	210				7.81				0.0
2017-06-05	4284	225				7.84				0.0
2017-06-06	4249	209				7.84				0.0
2017-06-07	10443	756				7.69				18.0
2017-06-08	4168	240		831	23720	7.87	34.20			1.0
2017-06-09	6739	570				7.64				8.2
2017-06-10	3692	196				7.60				0.0
2017-06-11	5357	523				7.58				6.6
2017-06-12	4730	466				7.58				0.2
2017-06-13	3878	197				7.66				0.0
2017-06-14	3948	196				7.65				0.0
2017-06-15	4045	199				7.62				0.0
2017-06-16	4004	193				7.64				0.0
2017-06-17	3949	209				7.61				0.0
2017-06-18	4041	202				7.58				0.0
2017-06-19	4124	200				7.57				8.4
2017-06-20	4081	209				7.60				0.0
2017-06-21	4039	198				7.62				0.0
2017-06-22	4097	200				7.61				0.8
2017-06-23	4116	220				7.53				0.4
2017-06-24	4656	373				7.47				3.6
2017-06-25	4106	210				7.56				0.4
2017-06-26	4246	230				7.56				0.2
2017-06-27	4111	208				7.43				0.0
2017-06-28	4297	259				7.52				0.0
2017-06-29	5990	594				7.45				6.8
2017-06-30	9932	718				7.36				10.4
2017-07-01	3610	197				7.35				0.0
2017-07-02	3671	187				7.41				0.0
2017-07-03	7879	783				7.39				11.8
2017-07-04	3570	174		592	14476	7.47				0.0
2017-07-05	3718	177				7.47				0.0
2017-07-06	3727	179				7.48				0.0
2017-07-07	3780	183				7.44				0.4
2017-07-08	3671	188				7.47				0.0
2017-07-09	3710	207				7.48				0.0
2017-07-10	3738	182				7.42				0.0
2017-07-11	4178	285				7.40				2.2
2017-07-12	3788	190				7.45				0.4
2017-07-13	3757	184				7.49				0.0
2017-07-14	3773	190				7.46				0.0
2017-07-15	3650	185				7.45				0.0
2017-07-16	4334	290				7.42				3.8
2017-07-17	3808	186				7.47				0.0
2017-07-18	3658	176				7.53				0.0
2017-07-19	3661	182				7.54				0.0
2017-07-20	3907	257				7.53				2.8
2017-07-21	3678	183				7.56				0.2
2017-07-22	4144	322				7.55				5.8
2017-07-23	9786	1072				7.41				27.0
2017-07-24	3483	170				7.62				2.0
2017-07-25	5746	515				7.57				4.6
2017-07-26	3401	167				7.64				0.0
2017-07-27	3661	235				7.59				1.6
2017-07-28	3497	179				7.62				1.2
2017-07-29	4812	463				7.69				4.0
2017-07-30	8370	786				7.61				11.2
2017-07-31	4461	359				7.56				1.2
2017-08-01	3665	179				7.56				0.2
2017-08-02	3578	171				7.56				1.8
2017-08-03	13128	904				7.41				27.0
2017-08-04	8659	592				7.46				4.4
2017-08-05	3783	192				7.48				0.0
2017-08-06	3828	199				7.47				0.0
2017-08-07	3832	187				7.49				0.0
2017-08-08	5388	474				7.49				8.4
2017-08-09	3982	235				7.46				0.0
2017-08-10	3816	189				7.48				0.0
2017-08-11	3878	193				7.48				0.0
2017-08-12	4820	475				7.44				3.2
2017-08-13	3836	194				7.49				0.0
2017-08-14	3746	183				7.50				0.0
2017-08-15	6847	706				7.46				12.0
2017-08-16	3583	174				7.50				0.0
2017-08-17	6699	677				7.47				6.6
2017-08-18	8013	956				7.42				16.4
2017-08-19	5131	446				7.42				0.0
2017-08-20	4510	337				7.45				1.0
2017-08-21	3807	186				7.50				0.0
2017-08-22	3913	195				7.50				0.0
2017-08-23	3999	200		657	17996	7.52				0.0
2017-08-24	4026	205				7.49				0.2
2017-08-25	3991	198				7.15				0.0
2017-08-26	3890	211				7.15				0.4
2017-08-27	4035	212				7.35				0.0
2017-08-28	4021	205				7.53				0.0
2017-08-29	4024	205				7.53				1.0
2017-08-30	6795	522				7.46				8.0
2017-08-31	4269	230				7.54				1.0
2017-09-01	3918	195				7.53				0.2
2017-09-02	3836	210				7.55				0.0
2017-09-03	3908	202				7.56				0.2
2017-09-04	3955	198		910	24651	7.61	47.70			0.0
2017-09-05	4148	295				7.88				3.4
2017-09-06	9681	711				7.81				9.6
2017-09-07	3657	184				7.96				0.6
2017-09-08	5655	610				7.84				6.6
2017-09-09	6412	674				7.80				5.8
2017-09-10	3826	193				7.89				0.2
2017-09-11	4507	356				7.87				2.6
2017-09-12	3854	277				7.89				0.6
2017-09-13	14554	1003				7.81				26.6
2017-09-14	9094	724				7.83				1.0
2017-09-15	7691	765				7.84				2.6
2017-09-16	6448	340				7.87				0.0
2017-09-17	6109	324				7.83				0.2
2017-09-18	4622	287				7.85				0.0
2017-09-19	4147	202				7.85				2.6
2017-09-20	5098	396				7.78				8.2
2017-09-21	4020	193				7.83				0.2
2017-09-22	4001	198				7.85				0.2
2017-09-23	3942	210				7.82				0.0
2017-09-24	3975	211				7.81				0.0
2017-09-25	4081	211				7.86				0.4
2017-09-26	4045	210				7.84				0.0
2017-09-27	3959	231				7.90				1.8
2017-09-28	5430	471				7.89				5.4
2017-09-29	3891	199				7.95				0.0
2017-09-30	3941	212				7.95				1.2
2017-10-01	3997	207				7.88				3.0
2017-10-02	10422	1006				7.83				16.0
2017-10-03	5402	387				7.84				0.0
2017-10-04	9494	941				7.82				9.0
2017-10-05	9173	829		755	47433	7.81	18.70		1.63	5.6
2017-10-06	4520	251				7.87				0.0
2017-10-07	7928	649				7.77				9.0
2017-10-08	4983	281				7.84				0.0
2017-10-09	4272	204				7.85				0.2
2017-10-10	5489	427				7.83				4.0
2017-10-11	5481	362				7.82				5.0
2017-10-12	10505	697				7.81				5.2
2017-10-13	4540	219				7.87				0.4
2017-10-14	4474	232				7.83				0.2
2017-10-15	4386	225				7.80				0.0
2017-10-16	4385	226				7.82				0.0
2017-10-17	4183	204				7.83				0.0
2017-10-18	7024	684				7.80				6.2
2017-10-19	4069	198				7.83				0.0
2017-10-20	5675	518				7.84				4.2
2017-10-21	4429	228				7.82				1.8
2017-10-22	8642	1049				7.79				12.4
2017-10-23	7703	566				7.93				0.2
2017-10-24	8097	649				7.78				5.4
2017-10-25	7983	583				7.79				2.4
2017-10-26	4790	230				7.81				0.2
2017-10-27	4992	245				7.77				0.0
2017-10-28	5320	258				7.76				1.6
2017-10-29	9677	696				7.71				2.6
2017-10-30	4889	247				7.80				0.0
2017-10-31	4610	219				7.78				1.4
2017-11-01	4846	230				7.77				1.2
2017-11-02	4838	254				7.78				0.0
2017-11-03	4528	218				7.78				0.0
2017-11-04	4415	226				7.75				0.4
2017-11-05	4549	226		556	17324	7.78				0.0
2017-11-06	4409	217				7.80				0.0
2017-11-07	4531	229				7.81				0.0
2017-11-08	4522	229				7.82				0.0
2017-11-09	305	229				7.91				0.0
